host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_has_profile_pic,host_identity_verified
98203,Jia,2010-03-24,"Shanghai, Shanghai, China",,,,True,Conservatory,2.0,True,True
681552,Leon,2011-06-09,China,within an hour,100.0,100.0,True,Changshou Road,15.0,True,True
2454164,Alvin,2012-05-24,China,within an hour,100.0,63.0,True,Quyang,5.0,True,True
2131088,Sammy,2012-04-13,China,within an hour,100.0,100.0,True,Putuo,1.0,True,True
3387343,Lily,2012-08-27,China,within a few hours,100.0,94.0,True,Putuo,3.0,True,True
3808518,Nour,2012-10-09,China,within an hour,100.0,77.0,False,Pudong,31.0,True,True
4758827,Larry,2013-01-18,China,,,75.0,True,Xinhua Road,4.0,True,True
4944168,Creed,2013-02-02,China,within an hour,100.0,92.0,False,Xuhui,4.0,True,True
5102202,麦琪,2013-02-16,China,within a day,67.0,100.0,False,Caojiadu,2.0,True,True
4471201,Lisa,2012-12-23,China,within a few hours,90.0,33.0,True,Hongkou,0.0,True,True
8283128,Yuan,2013-08-20,China,within an hour,100.0,64.0,False,,1.0,True,True
9367776,畅 Chang,2013-10-11,China,within a day,100.0,90.0,False,,1.0,True,True
9552203,施,2013-10-21,China,,,100.0,False,,6.0,True,True
10044315,Sophy,2013-11-16,"Shanghai, Shanghai, China",,,0.0,False,Huangpu,6.0,True,True
10358108,Jasmine,2013-12-01,China,within a few hours,100.0,67.0,False,,1.0,True,True
10399867,Tim,2013-12-03,China,within a few hours,88.0,57.0,False,,1.0,True,True
12725376,Benoit,2014-03-02,China,within an hour,100.0,100.0,False,Xuhui,1.0,True,True
10538237,MiMo,2013-12-10,China,,,,True,Jing'an,1.0,True,True
7815217,Tony,2013-07-30,China,within a few hours,100.0,100.0,False,,2.0,True,True
14349658,Alfred,2014-04-16,"San Francisco, California, United States",within a few hours,100.0,53.0,False,Hengshan,2.0,True,True
6422697,Crystal,2013-05-16,China,within a day,50.0,0.0,False,Changning,1.0,True,True
5515630,Chi,2013-03-18,China,within an hour,88.0,58.0,True,Changning,2.0,True,True
10138863,Winnie,2013-11-20,"Shanghai, Shanghai, China",,,50.0,False,Lu Jia Zui,1.0,True,True
15881138,Harry,2014-05-23,China,within an hour,100.0,100.0,False,Pudong,8.0,True,True
7741247,Laurent,2013-07-26,"Jingan Qu, Shanghai Shi, China",within an hour,100.0,99.0,True,Hengshan,19.0,True,True
5493846,Peiying,2013-03-17,China,within an hour,100.0,100.0,False,Nanjing Road West,36.0,True,True
16937823,Martina,2014-06-18,China,,,,True,,1.0,True,True
12517692,Erin,2014-02-23,China,within an hour,100.0,90.0,True,Cypress,1.0,True,True
15203654,哲Zhe,2014-05-07,China,within a few hours,100.0,0.0,False,Changshou Road,2.0,True,True
17940442,Shitong,2014-07-10,"Shanghai, Shanghai, China",,,100.0,False,,1.0,True,True
4904650,Jiasheng,2013-01-30,China,,,,False,Yangpu,1.0,True,True
18433964,John,2014-07-20,China,within an hour,100.0,64.0,False,Pudong,6.0,True,True
17743161,Shanghai Residence,2014-07-07,"Singapore, Singapore",within an hour,100.0,98.0,True,Xintiandi,24.0,True,True
19442668,Charline,2014-08-04,"Paris, Île-de-France, France",within an hour,100.0,100.0,True,,1.0,True,True
19545392,沈杰,2014-08-06,China,within an hour,100.0,100.0,False,Pudong,11.0,True,True
20332718,Annie,2014-08-20,China,,,100.0,True,Tongle Fang,1.0,True,True
21161924,Kai,2014-09-10,China,within an hour,100.0,92.0,False,Zhabei,6.0,True,True
21441998,Vivian& Luke,2014-09-17,China,within a day,100.0,100.0,False,Dapuqiao,1.0,True,True
21110230,凯,2014-09-09,China,within an hour,100.0,100.0,True,,0.0,True,True
21505482,Sarie,2014-09-18,China,,,0.0,False,Conservatory,1.0,True,True
10322353,Yixuan,2013-11-28,China,,,89.0,True,,1.0,True,True
8250847,华亭,2013-08-19,China,within an hour,100.0,79.0,True,Xuhui,0.0,True,True
22136741,Sunny,2014-10-05,China,within a few hours,80.0,100.0,False,Zhabei,3.0,True,True
22607697,今,2014-10-16,China,within an hour,100.0,79.0,True,Hengshan,33.0,True,True
18606594,Tony,2014-07-21,China,,,,False,,1.0,True,True
22621896,Shaoming,2014-10-16,"Shanghai, Shanghai, China",within a day,100.0,,False,Zhongshan Park,1.0,True,True
11788158,思红,2014-01-30,China,within an hour,100.0,99.0,True,Xintiandi,1.0,True,True
23923862,Crystal,2014-11-19,China,,,,False,Pudong,1.0,True,True
950425,Scarlett,2011-08-10,China,within an hour,88.0,100.0,True,,1.0,True,True
5904716,一宿,2013-04-13,China,within an hour,100.0,99.0,True,Southern Region,6.0,True,True
4258815,Faye,2012-11-27,"Hong Kong Island, Hong Kong",within an hour,93.0,87.0,True,Soho,4.0,True,True
25581908,丹婷,2015-01-04,China,within an hour,100.0,100.0,False,Pudong,2.0,True,True
18601622,Bo,2014-07-21,China,,,,False,Yangpu,1.0,True,True
25743523,Chang,2015-01-07,China,a few days or more,33.0,0.0,False,Hengshan,1.0,True,True
