host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_has_profile_pic,host_identity_verified
46935434,Taylor,2015-10-19,"Rockwall, Texas, United States",within an hour,100.0,75.0,False,,0,True,True
124060715,Evolve,2017-04-03,United States,within an hour,100.0,100.0,False,West Austin,823,True,True
43897852,Ruth,2015-09-10,"Duncanville, Texas, United States",within a few hours,100.0,89.0,True,,12,True,True
349473128,Luxurious,2020-06-10,"Dallas, Texas, United States",within an hour,100.0,100.0,True,,0,True,True
408473679,ALL-EN Luxury Stays & Rentals LLC,2021-06-22,"McKinney, Texas, United States",within an hour,100.0,98.0,True,Old East Dallas,1,True,True
422542935,Oladipupo,2021-09-11,"Aubrey, Texas, United States",within an hour,100.0,100.0,False,,0,True,True
147694737,Eddie,2017-08-25,"New York, New York, United States",within an hour,100.0,100.0,True,,1,True,True
433378589,Ransom,2021-11-24,"Coppell, Texas, United States",within an hour,100.0,100.0,False,Lakeside At Frisco Bridges,1,True,True
452778247,Gloria,2022-04-04,US,within an hour,100.0,86.0,False,,0,True,True
419481138,Phoebeplex,2021-08-21,US,within an hour,100.0,100.0,True,,0,True,True
108514926,Dalls,2016-12-26,"Houston, Texas, United States",within an hour,100.0,85.0,False,Oak Lawn,337,True,True
443171555,Esther,2022-02-01,"Addison, Texas, United States",,,,False,Far North Dallas,0,True,True
372284172,Brichai,2020-10-17,"Dallas, Texas, United States",within an hour,100.0,99.0,True,Victory Park,1,True,True
345646319,Derrial,2020-05-07,US,within an hour,80.0,100.0,False,Far North Dallas,5,True,True
112593570,Max,2017-01-21,US,within an hour,97.0,95.0,False,Oak Lawn,110,True,True
150887752,Abigail,2017-09-16,"Dallas, Texas, United States",a few days or more,25.0,50.0,False,,2,True,True
300211,Rita,2010-11-26,"Roanoke, Texas, United States",within a few hours,100.0,100.0,False,Oak Lawn,1,True,True
78344,J. Yuriko,2010-02-06,"Dallas, Texas, United States",within a few hours,100.0,0.0,False,,1,True,True
4096626,Eric,2012-11-08,"Seattle, Washington, United States",within an hour,100.0,0.0,False,Oak Lawn,1,True,True
4191322,Michelle,2012-11-19,"Memphis, Tennessee, United States",within an hour,100.0,98.0,True,Oak Lawn,2,True,True
804559,Rod,2011-07-11,"Dallas, Texas, United States",within a few hours,90.0,75.0,False,North Central Dallas,0,True,False
4505460,Judy,2012-12-27,"Dallas, Texas, United States",within an hour,100.0,83.0,True,Old Lake Highlands,4,True,False
5821283,Kathy,2013-04-07,"Dallas, Texas, United States",within a few hours,100.0,79.0,False,Oak Lawn,3,True,False
6063232,Joan,2013-04-23,"Dallas, Texas, United States",within an hour,100.0,95.0,False,Central Dallas,13,True,True
5037857,Marie,2013-02-10,"Dallas, Texas, United States",within an hour,100.0,98.0,True,Belmont,2,True,True
6904484,C. F. Sandy,2013-06-13,"Dallas, Texas, United States",a few days or more,0.0,0.0,False,North Central Dallas,1,True,True
5881933,NatalieandItamar,2013-04-11,"Irving, Texas, United States",within a day,100.0,69.0,False,North Central Dallas,11,True,True
3809024,Holly,2012-10-09,"Dallas, Texas, United States",within a few hours,100.0,80.0,True,Lower Greenville,4,True,True
7961670,Jill,2013-08-05,"Dallas, Texas, United States",,,98.0,True,Oak Cliff,1,True,True
3932821,Greg,2012-10-21,"Texas, United States",,,0.0,False,White Rock East,5,True,True
9557710,Jeff,2013-10-21,"Dallas, Texas, United States",within an hour,100.0,94.0,True,Downtown,3,True,True
9723429,Carrie,2013-10-30,"Dallas, Texas, United States",within an hour,100.0,100.0,False,Oak Cliff,1,True,True
10812966,Craig,2013-12-25,"Dallas, Texas, United States",within a few hours,100.0,0.0,False,Oak Lawn,1,True,True
11067935,Thierry,2014-01-06,US,within a day,80.0,49.0,True,Glen Meadow/Westhollow/Northhaven Park,1,True,False
11740756,Jeff,2014-01-28,"Dallas, Texas, United States",within an hour,100.0,99.0,True,Oak Lawn,1,True,True
12993311,Jan,2014-03-10,"Dallas, Texas, United States",within a few hours,100.0,88.0,False,Central Dallas,4,True,True
12321313,Judith,2014-02-17,"Dallas, Texas, United States",within an hour,100.0,100.0,False,Bent Tree,3,True,True
14042475,Mina,2014-04-08,"Pearland, Texas, United States",,,0.0,False,Southeast Dallas,1,True,True
7173761,Fred,2013-06-28,"Dallas, Texas, United States",within an hour,100.0,96.0,True,Southeast Dallas,2,True,True
10667067,Jj,2013-12-17,"Lucas, Texas, United States",,,100.0,False,North Central Dallas,8,True,True
885061,Roberto,2011-07-28,"Dallas, Texas, United States",within an hour,100.0,96.0,False,Bryan Square,6,True,True
15962199,Teena,2014-05-25,"Dallas, Texas, United States",within a few hours,100.0,100.0,True,Northwest Dallas,1,True,False
16213597,Alicia,2014-05-31,"Dallas, Texas, United States",,,0.0,False,Forest Hills/Casa Linda,1,True,True
413304,Debbie,2011-02-27,"Dallas, Texas, United States",within an hour,100.0,100.0,False,,2,True,True
104258,Julie,2010-04-06,"Dallas, Texas, United States",,,,False,,1,True,True
14949514,Karen,2014-04-30,"Dallas, Texas, United States",within an hour,100.0,100.0,True,Glencoe Park,1,True,True
6324192,Amy,2013-05-10,"Dallas, Texas, United States",within a day,90.0,82.0,False,Lower Greenville,1,True,True
424335855,C.J.,2021-09-23,"Dallas, Texas, United States",,,,False,,1,True,False
17424986,Naveed,2014-06-29,"DeSoto, Texas, United States",,,0.0,False,Oak Lawn,1,True,True
21257246,John,2014-09-12,"Dallas, Texas, United States",within a day,100.0,75.0,False,Oak Cliff,1,True,True
15695797,Keane,2014-05-18,"Dallas, Texas, United States",within an hour,100.0,100.0,False,Oak Cliff,1,True,True
14736042,Zagros,2014-04-25,"Dallas, Texas, United States",within an hour,100.0,100.0,True,Belmont,1,True,True
23185639,J. Nicole,2014-10-31,"Dallas, Texas, United States",within an hour,100.0,100.0,False,Kessler,1,True,True
22330135,Lisa,2014-10-09,"Dallas, Texas, United States",within an hour,100.0,59.0,True,Bent Tree,1,True,True
23751816,Blake,2014-11-14,"Dallas, Texas, United States",within a few hours,90.0,73.0,True,Downtown,2,True,True
16468063,Danny,2014-06-06,"Dallas, Texas, United States",within a few hours,81.0,71.0,False,North Central Dallas,8,True,False
9649521,Cory,2013-10-26,"Dallas, Texas, United States",within an hour,100.0,95.0,True,Central Dallas,1,True,True
24921413,Micah,2014-12-17,"Dallas, Texas, United States",within an hour,100.0,100.0,True,Central Dallas,10,True,True
8361847,Timothe,2013-08-24,"Dallas, Texas, United States",,,0.0,False,Lake Highlands,1,True,True
25470993,Joe,2015-01-01,"Dallas, Texas, United States",within an hour,100.0,96.0,True,,1,True,True
10435889,Tiffaney,2013-12-04,"McAllen, Texas, United States",within an hour,100.0,98.0,True,M Streets,2,True,True
9761734,Michael,2013-11-01,"Dallas, Texas, United States",within an hour,100.0,79.0,True,Oak Lawn,5,True,True
9954289,Mark,2013-11-12,"Dallas, Texas, United States",within an hour,100.0,100.0,True,Oak Cliff,1,True,True
378749,Brian,2011-02-05,"Dallas, Texas, United States",within an hour,100.0,82.0,True,Ewing/Corinth,2,True,True
29447543,Mark,2015-03-16,"Dallas, Texas, United States",within a day,70.0,83.0,False,Hillside/University Meadows/Ridge Wood Park/North Stonewall Terrace,1,True,True
29514625,Lisa,2015-03-17,"Dallas, Texas, United States",,,,False,Downtown,2,True,True
1294259,Cynthia,2011-10-15,"Dallas, Texas, United States",within a day,90.0,80.0,False,Northwest Dallas,2,True,True
32157153,Jim,2015-04-28,"Dallas, Texas, United States",within a day,100.0,38.0,False,Oak Lawn,1,True,False
20618407,Valarie,2014-08-27,"Dallas, Texas, United States",within an hour,100.0,97.0,True,Bent Tree,14,True,True
36887133,Vernon,2015-06-27,"Dallas, Texas, United States",within an hour,100.0,100.0,True,White Rock East,2,True,True
3527030,Sean,2012-09-10,"Dallas, Texas, United States",within an hour,100.0,98.0,True,Oak Cliff,2,True,True
40014595,Carlos,2015-07-30,"La Tijera, Jalisco, Mexico",within an hour,100.0,93.0,True,North Central Dallas,3,True,True
24407447,Blake,2014-12-02,"Leesburg, Texas, United States",within an hour,100.0,95.0,False,Lake Highlands,17,True,True
42512828,Monica,2015-08-25,"Dallas, Texas, United States",within an hour,90.0,77.0,False,Southwest Dallas,1,True,True
11394453,Jeff,2014-01-17,"Dallas, Texas, United States",within an hour,100.0,97.0,True,Northwest Dallas,1,True,True
38499343,Meka,2015-07-14,"Dallas, Texas, United States",,,,False,North Central Dallas,1,True,True
40543093,Michele,2015-08-04,"Colleyville, Texas, United States",within a few hours,100.0,67.0,False,,1,True,False
31848869,David,2015-04-24,"Dallas, Texas, United States",within an hour,100.0,64.0,False,Oak Lawn,1,True,True
27100767,Ally,2015-02-02,"Coppell, Texas, United States",within a few hours,100.0,81.0,True,Old Lake Highlands,1,True,False
13030399,Katrina,2014-03-11,"Dallas, Texas, United States",within an hour,100.0,99.0,True,Oak Cliff,4,True,False
38961725,Theresa,2015-07-19,"Dallas, Texas, United States",a few days or more,43.0,79.0,False,Lower Greenville,0,True,True
45385076,Alan,2015-09-29,"Dallas, Texas, United States",within a day,100.0,0.0,False,,1,True,True
9858809,Max,2013-11-06,"San Francisco, California, United States",,,,False,,1,True,True
27296534,Katie,2015-02-06,"Austin, Texas, United States",a few days or more,0.0,0.0,False,,1,True,True
45814261,Brian,2015-10-05,"Dallas, Texas, United States",within a few hours,100.0,67.0,False,Oak Lawn,1,True,True
45865766,Margaret,2015-10-05,"Dallas, Texas, United States",within a few hours,100.0,89.0,True,Bent Tree,1,True,True
40907479,Lisa,2015-08-08,"Dallas, Texas, United States",within a few hours,100.0,81.0,True,Northwest Dallas,9,True,True
47350784,Michael,2015-10-24,"Flower Mound, Texas, United States",,,,True,Old East Dallas,4,True,True
2017907,Peter,2012-03-27,"Dallas, Texas, United States",within an hour,100.0,100.0,True,Glencoe Park,1,True,True
48353455,Jamie,2015-11-06,"Dallas, Texas, United States",within an hour,100.0,97.0,True,Oak Lawn,1,True,True
25090597,David,2014-12-22,"Dallas, Texas, United States",within an hour,100.0,100.0,False,Lake Highlands,1,True,False
48821106,Dia,2015-11-12,"Dallas, Texas, United States",within an hour,100.0,90.0,False,Belmont,1,True,True
47783364,Adam,2015-10-30,"Dallas, Texas, United States",within an hour,100.0,94.0,True,Northeast Dallas,3,True,True
49028930,Brett,2015-11-14,"Saginaw, Texas, United States",within a few hours,100.0,97.0,True,Oak Lawn,14,True,True
47792621,Jay,2015-10-30,"Dallas, Texas, United States",,,100.0,False,Oak Cliff,1,True,True
23454864,Kim,2014-11-07,"Dallas, Texas, United States",,,90.0,True,,1,True,True
20205060,Stan,2014-08-18,"Texas, United States",within an hour,100.0,100.0,True,Oak Lawn,3,True,True
28008128,Jonathan,2015-02-19,"Dallas, Texas, United States",,,,False,Oak Lawn,0,True,True
51244938,Taylor,2015-12-13,"Dallas, Texas, United States",within an hour,100.0,82.0,True,Lower Greenville,2,True,False
53066413,Jennifer,2016-01-02,"Dallas, Texas, United States",within a few hours,100.0,100.0,False,Hillside/University Meadows/Ridge Wood Park/North Stonewall Terrace,1,True,False
27836510,Judy,2015-02-16,"Dallas, Texas, United States",within an hour,100.0,90.0,True,Central Dallas,1,True,True
37054522,Mark,2015-06-29,"Dallas, Texas, United States",within an hour,100.0,91.0,True,Oak Lawn,1,True,True
6211771,Frances,2013-05-03,"Dallas, Texas, United States",within a few hours,100.0,100.0,True,White Rock East,1,True,True
213421586,James,2018-09-03,"Dallas, Texas, United States",,,,False,,1,True,True
2418969,Annie,2012-05-20,"Dallas, Texas, United States",within an hour,100.0,100.0,True,,1,True,True
22466034,Carlos,2014-10-13,"Dallas, Texas, United States",within a day,50.0,4.0,False,,2,True,True
1237905,Manuel,2011-10-02,"Dallas, Texas, United States",within an hour,100.0,81.0,True,Lake Highlands,3,True,True
21699077,Elizabeth,2014-09-23,"Dallas, Texas, United States",within an hour,100.0,99.0,False,Old East Dallas,3,True,True
43889052,Israel,2015-09-10,"Dallas, Texas, United States",within an hour,100.0,100.0,True,Oak Lawn,4,True,False
47650530,Ray,2015-10-28,United States,within an hour,80.0,100.0,False,Oak Lawn,1,True,True
16783105,Mike,2014-06-14,"Dallas, Texas, United States",within an hour,100.0,89.0,True,North Central Dallas,4,True,True
37273366,City,2015-07-01,"Dallas, Texas, United States",within an hour,100.0,94.0,True,Oak Lawn,7,True,True
60978791,Charles,2016-02-29,"Dallas, Texas, United States",within an hour,100.0,100.0,True,North Dallas,0,True,True
61431187,John,2016-03-03,"Dallas, Texas, United States",within a day,100.0,50.0,True,,1,True,False
249111,Carolyn,2010-09-29,"Dallas, Texas, United States",within an hour,100.0,100.0,True,Lower Greenville,0,True,True
31101090,Lupe,2015-04-12,"Dallas, Texas, United States",within an hour,100.0,99.0,False,Oak Cliff,2,True,True
62676658,Nadia,2016-03-12,"Dallas, Texas, United States",within a day,50.0,20.0,False,,1,True,False
7892649,Lauryn,2013-08-02,"Dallas, Texas, United States",within a few hours,100.0,75.0,False,,0,True,True
64526429,Asher,2016-03-26,"Dallas, Texas, United States",within an hour,100.0,97.0,False,Bent Tree,17,True,True
53047362,Elly,2016-01-02,"Dallas, Texas, United States",within a few hours,100.0,96.0,False,Knox / Henderson,1,True,True
24649217,Van And Lynn,2014-12-09,"Dallas, Texas, United States",,,100.0,False,Oak Lawn,2,True,True
75347198,Nic,2016-06-02,"Dallas, Texas, United States",,,,False,,1,True,True
69410401,Jim,2016-04-28,"Dallas, Texas, United States",within an hour,100.0,99.0,True,Oak Cliff,1,True,True
70820214,Edina And Joe,2016-05-07,"Dallas, Texas, United States",within a few hours,100.0,97.0,True,North Central Dallas,1,True,True
43042344,Heath,2015-08-31,"Dallas, Texas, United States",within an hour,99.0,100.0,False,Old East Dallas,226,True,True
59509385,Jeremy,2016-02-19,"Dallas, Texas, United States",within an hour,98.0,100.0,False,Oak Cliff,10,True,True
54424591,Bruce,2016-01-12,"Round Rock, Texas, United States",within an hour,100.0,100.0,False,Lower Greenville,1,True,True
73227695,Aj,2016-05-21,"Rowlett, Texas, United States",within an hour,100.0,99.0,False,South Dallas,2,True,True
72094342,Ashley,2016-05-15,"Grand Prairie, Texas, United States",within an hour,100.0,100.0,True,,0,True,True
74141217,Fiona,2016-05-26,"Dallas, Texas, United States",within a day,100.0,88.0,True,,1,True,True
61276660,M,2016-03-02,"Dallas, Texas, United States",within a few hours,90.0,97.0,True,,1,True,False
71839752,Jonathan,2016-05-13,"Grand Prairie, Texas, United States",within an hour,100.0,100.0,True,,2,True,True
76039395,Rob,2016-06-05,"Dallas, Texas, United States",within an hour,100.0,95.0,True,Belmont,2,True,True
23916014,Braden,2014-11-18,"Dallas, Texas, United States",within an hour,99.0,94.0,True,Old East Dallas,66,True,True
10901678,Vera,2013-12-30,"Dallas, Texas, United States",within an hour,100.0,100.0,False,North Dallas,49,True,True
84990738,Teresa,2016-07-20,"Dallas, Texas, United States",within an hour,100.0,100.0,True,Oak Lawn,1,True,True
85293121,Lan,2016-07-22,"Dallas, Texas, United States",within an hour,100.0,100.0,True,Northeast Dallas,0,True,True
82337322,Donna,2016-07-07,"Dallas, Texas, United States",within an hour,100.0,74.0,True,Oak Lawn,2,True,False
88358457,Jim,2016-08-06,"Dallas, Texas, United States",within an hour,100.0,100.0,True,Oak Lawn,1,True,True
42797060,Cindy,2015-08-28,"Dallas, Texas, United States",,,,False,Northeast Dallas,2,True,False
15751176,Avi,2014-05-20,"Dallas, Texas, United States",within a few hours,86.0,97.0,False,Northeast Dallas,9,True,True
90964420,Rabecca,2016-08-20,"Dallas, Texas, United States",,,40.0,True,Oak Lawn,1,True,False
11668120,Marci,2014-01-26,"Dallas, Texas, United States",,,50.0,False,Forest Hills/Casa Linda,2,True,True
46546689,Melanie,2015-10-14,"Austin, Texas, United States",within a day,100.0,100.0,False,Far North Dallas,0,True,True
41923076,Anj,2015-08-19,"Dallas, Texas, United States",within an hour,100.0,100.0,True,Oak Lawn,10,True,True
47111572,Cynthia,2015-10-21,"IND HBR BCH, Florida, United States",within a day,100.0,100.0,False,Oak Lawn,1,True,True
93232901,Ej,2016-09-03,"Dallas, Texas, United States",within an hour,100.0,98.0,False,Oak Cliff,23,True,True
35342054,Deborah,2015-06-08,"Dallas, Texas, United States",within a few hours,100.0,92.0,False,Lakewood,4,True,True
36558634,Matt,2015-06-23,"Austin, Texas, United States",within an hour,100.0,83.0,True,Lakewood,3,True,True
1287648,Cindy | Becca,2011-10-13,"Buffalo, New York, United States",within an hour,100.0,91.0,False,Oak Lawn,3,True,True
16354066,Daniel,2014-06-03,"Grand Prairie, Texas, United States",within an hour,100.0,99.0,True,,11,True,True
39191637,Lee,2015-07-21,"Austin, Texas, United States",within an hour,100.0,100.0,False,Central Dallas,43,True,True
68322746,Elias,2016-04-22,"Dallas, Texas, United States",within an hour,100.0,100.0,False,,1,True,True
95719694,Linda,2016-09-18,"I live in the heart of Dallas, close to lots of shopping, restaurants, museums, and businesses.",within a few hours,100.0,85.0,True,M Streets,1,True,True
58642120,Rj,2016-02-13,"Dallas, Texas, United States",within an hour,100.0,99.0,True,Oak Lawn,3,True,True
58996139,Jennifer,2016-02-16,"Dallas, Texas, United States",within a few hours,100.0,85.0,True,Oak Cliff,1,True,False
95945165,Mary Jo,2016-09-19,"Dallas, Texas, United States",within an hour,100.0,96.0,True,Peninsula,1,True,True
95030182,Lauri,2016-09-13,US,within an hour,100.0,100.0,True,Glencoe Park,1,True,False
10487666,Grady,2013-12-07,"Dallas, Texas, United States",within an hour,100.0,100.0,True,Southeast Dallas,4,True,True
9791021,Scott,2013-11-03,"Dallas, Texas, United States",,,50.0,False,Oak Lawn,1,True,True
69524865,Veronica,2016-04-29,"Dallas, Texas, United States",within a few hours,100.0,68.0,False,Oak Cliff,1,True,False
72184929,Gp,2016-05-15,"Dallas, Texas, United States",within an hour,100.0,96.0,False,Lakewood,1,True,True
25150071,Hayden,2014-12-23,"Dallas, Texas, United States",within a few hours,90.0,65.0,True,Oak Cliff,3,True,True
96993967,Lashonda,2016-09-27,"Dallas, Texas, United States",within a day,50.0,80.0,False,South Central Dallas,2,True,True
2770842,Ericka,2012-06-28,"Dallas, Texas, United States",within an hour,100.0,96.0,True,White Rock Hills,1,True,True
10696583,Tom & Cyndi,2013-12-18,"Dallas, Texas, United States",within a few hours,100.0,100.0,True,Northwest Dallas,1,True,True
201570,Evie,2010-08-14,"Austin, Texas, United States",within an hour,100.0,99.0,False,Central Dallas,1,True,True
971049,C,2011-08-14,"Dallas, Texas, United States",within an hour,100.0,60.0,False,,1,True,True
60226438,Jesse,2016-02-24,"Dallas, Texas, United States",within an hour,100.0,93.0,True,Central Dallas,3,True,True
102864844,Christina,2016-11-07,"Dallas, Texas, United States",within an hour,100.0,100.0,True,Northeast Dallas,2,True,True
25173150,Hayden,2014-12-24,"Dallas, Texas, United States",a few days or more,0.0,,False,Greenway Parks,1,False,False
181074,Jonathan,2010-07-26,"Miami, Florida, United States",within a few hours,100.0,70.0,True,Belmont,2,True,True
463744,Oren,2011-03-26,"Dallas, Texas, United States",within an hour,100.0,100.0,False,Central Dallas,1,True,True
